"date","currency","rate"
"2018-03-27",601,"0.8057"
"2018-03-27",602,"56.9573"
"2018-03-27",604,"0.9459"
"2018-03-27",605,"105.1245"
"2018-03-27",606,"0.703"
"2018-03-27",608,"7.8466"
"2018-03-28",600,"1"
"2018-03-28",601,"0.808"
"2018-03-28",602,"57.2237"
"2018-03-28",604,"0.9505"
"2018-03-28",605,"105.8824"
"2018-03-28",606,"0.7106"
"2018-03-28",608,"7.8469"
"2018-03-29",600,"1"
"2018-03-29",601,"0.8066"
"2018-03-29",602,"57.5296"
"2018-03-29",604,"0.9518"
"2018-03-29",605,"106.1462"
"2018-03-29",606,"0.7066"
"2018-03-29",608,"7.8476"
"2018-03-30",600,"1"
"2018-03-30",601,"0.8116"
"2018-03-30",602,"57.5357"
"2018-03-30",604,"0.956"
"2018-03-30",605,"106.4443"
"2018-03-30",606,"0.7101"
"2018-03-30",608,"7.8481"
"2018-04-01",600,"1"
"2018-04-01",601,"0.8116"
"2018-04-01",602,"57.5357"
"2018-04-01",604,"0.956"
"2018-04-01",605,"106.4443"
"2018-04-01",606,"0.7101"
"2018-04-01",608,"7.8481"
"2018-04-02",600,"1"
"2018-04-02",601,"0.8116"
"2018-04-02",602,"57.5357"
"2018-04-02",604,"0.956"
"2018-04-02",605,"106.4443"
"2018-04-02",606,"0.7101"
"2018-04-02",608,"7.8481"
"2018-04-03",600,"1"
"2018-04-03",601,"0.8116"
"2018-04-03",602,"57.5357"
"2018-04-03",604,"0.956"
"2018-04-03",605,"106.4443"
"2018-04-03",606,"0.7101"
"2018-04-03",608,"7.8481"
"2018-04-04",600,"1"
"2018-04-04",601,"0.8125"
"2018-04-04",602,"57.5914"
"2018-04-04",604,"0.9567"
"2018-04-04",605,"106.2398"
"2018-04-04",606,"0.7111"
"2018-04-04",608,"7.8487"
"2018-04-05",600,"1"
"2018-04-05",601,"0.8146"
"2018-04-05",602,"57.8094"
"2018-04-05",604,"0.9593"
"2018-04-05",605,"106.248"
"2018-04-05",606,"0.7134"
"2018-04-05",608,"7.8491"
"2018-04-06",600,"1"
"2018-04-06",601,"0.8157"
"2018-04-06",602,"57.6061"
"2018-04-06",604,"0.9622"
"2018-04-06",605,"107.0636"
"2018-04-06",606,"0.7128"
"2018-04-06",608,"7.8493"
"2018-04-07",600,"1"
"2018-04-07",601,"0.8174"
"2018-04-07",602,"57.8936"
"2018-04-07",604,"0.9644"
"2018-04-07",605,"107.3402"
"2018-04-07",606,"0.7135"
"2018-04-07",608,"7.8481"
"2018-04-09",600,"1"
"2018-04-09",601,"0.8174"
"2018-04-09",602,"57.8936"
"2018-04-09",604,"0.9644"
"2018-04-09",605,"107.3402"
"2018-04-09",606,"0.7135"
"2018-04-09",608,"7.8481"
"2018-04-10",600,"1"
"2018-04-10",601,"0.8127"
"2018-04-10",602,"60.2349"
"2018-04-10",604,"0.9582"
"2018-04-10",605,"107.0059"
"2018-04-10",606,"0.7078"
"2018-04-10",608,"7.8492"
"2018-04-11",600,"1"
"2018-04-11",601,"0.809"
"2018-04-11",602,"62.6656"
"2018-04-11",604,"0.954"
"2018-04-11",605,"107.014"
"2018-04-11",606,"0.7053"
"2018-04-11",608,"7.8497"
"2018-04-12",600,"1"
"2018-04-12",601,"0.8075"
"2018-04-12",602,"64.6055"
"2018-04-12",604,"0.9573"
"2018-04-12",605,"106.7991"
"2018-04-12",606,"0.7054"
"2018-04-12",608,"7.8498"
"2018-04-13",600,"1"
"2018-04-13",601,"0.8115"
"2018-04-13",602,"61.5884"
"2018-04-13",604,"0.9637"
"2018-04-13",605,"107.1492"
"2018-04-13",606,"0.7039"
"2018-04-13",608,"7.8499"
"2018-04-14",600,"1"
"2018-04-14",601,"0.8119"
"2018-04-14",602,"61.8808"
"2018-04-14",604,"0.9624"
"2018-04-14",605,"107.6886"
"2018-04-14",606,"0.7015"
"2018-04-14",608,"7.8499"
"2018-04-15",600,"1"
"2018-04-15",601,"0.8119"
"2018-04-15",602,"61.8808"
"2018-04-15",604,"0.9624"
"2018-04-15",605,"107.6886"
"2018-04-15",606,"0.7015"
"2018-04-15",608,"7.8499"
"2018-04-16",600,"1"
"2018-04-16",601,"0.8119"
"2018-04-16",602,"61.8808"
"2018-04-16",604,"0.9624"
"2018-04-16",605,"107.6886"
"2018-04-16",606,"0.7015"
"2018-04-16",608,"7.8499"
"2018-04-17",600,"1"
"2018-04-17",601,"0.8084"
"2018-04-17",602,"62.2005"
"2018-04-17",604,"0.9602"
"2018-04-17",605,"107.3323"
"2018-04-17",606,"0.699"
"2018-04-17",608,"7.85"
"2018-04-18",600,"1"
"2018-04-18",601,"0.8093"
"2018-04-18",602,"61.7637"
"2018-04-18",604,"0.9637"
"2018-04-18",605,"107.1053"
"2018-04-18",606,"0.6982"
"2018-04-18",608,"7.8499"
"2018-04-19",600,"1"
"2018-04-19",601,"0.8072"
"2018-04-19",602,"61.4987"
"2018-04-19",604,"0.967"
"2018-04-19",605,"107.2167"
"2018-04-19",606,"0.7031"
"2018-04-19",608,"7.8499"
"2018-04-20",600,"1"
"2018-04-20",601,"0.8076"
"2018-04-20",602,"60.804"
"2018-04-20",604,"0.9672"
"2018-04-20",605,"107.3171"
"2018-04-20",606,"0.7024"
"2018-04-20",608,"7.8487"
"2018-04-23",600,"1"
"2018-04-23",601,"0.8124"
"2018-04-23",602,"61.5302"
"2018-04-23",604,"0.9725"
"2018-04-23",605,"107.5717"
"2018-04-23",606,"0.7117"
"2018-04-23",608,"7.8453"
"2018-04-24",600,"1"
"2018-04-24",601,"0.8171"
"2018-04-24",602,"61.8179"
"2018-04-24",604,"0.9757"
"2018-04-24",605,"108.1713"
"2018-04-24",606,"0.7161"
"2018-04-24",608,"7.8423"
"2018-04-25",600,"1"
"2018-04-25",601,"0.8188"
